prompt,response,clauses_text_final,voice,idx,abstraction_score_normalized,reading_ease_normalized,grading_level_normalized
My co-workers and I,"arise together, knowing and not knowing, roles arising and falling away, out of which life itself creates anew, carrying our dance like seeds in a breeze.","['together', 'knowing and', 'not knowing roles', 'arising and', 'falling away out of which life itself', 'creates anew carrying our dance like seeds in a breeze']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_pron_x']",55,"[0.56, 0.56, 0.56, 0.56, 1.0, 1.0]","[0.5, 0.13, 0.09, 0.13, 0.09, 0.1]","[0.5, 0.13, 0.1, 0.13, 0.12, 0.15]"
My conscience bothers me if,"I&#039;m not placing my feet on the path with an open heart, mind and spirit, tuning in to what&#039;s moving and showing up fully at the dance.","['I m not placing my feet on the path with an open heart mind and spirit', 'tuning in to and', 'what s moving', 'showing up fully at the dance']","['A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def']",56,"[1.0, 0.56, 0.56, 1.0]","[0.08, 0.07, 0.09, 0.1]","[0.16, 0.09, 0.1, 0.12]"
Change is,the ever evolving universe.,"['the universe', 'ever evolving']","['Undefined', 'A_def']",57,"[0.56, 0.56]","[0.13, 0.25]","[0.13, 0.26]"
The past,is alive in this moment swirling with futures and other pasts colliding in infinite strings of moments.,"['is alive in this moment', 'swirling with futures and other pasts', 'colliding in infinite strings of moments']","['P_bevb_x', 'A_def', 'A_def']",58,"[0.56, 0.56, 1.0]","[0.06, 0.1, 0.22]","[0.08, 0.12, 0.25]"
A good boss,"is empathetic, intelligent, engaging, passionate and a teacher/coach.",['is empathetic intelligent engaging passionate and a teacher coach'],['P_bevb_x'],59,[1.0],[0.33],[0.37]
What I like to do best is,"be in a complete experience of effortless flow and evolution with myself, others and the universe.",['be in a complete experience of effortless flow and evolution with myself others and the universe'],['P_bevb_x'],60,[1.0],[0.22],[0.3]
When I get mad,"it takes a long time to build up, but I am slow to forgive.","['it takes a long time but', 'to build up', 'I am slow to forgive']","['A_def', 'A_def', 'P_bevb_x', 'A_def']",61,"[0.56, 0.48, 0.88]","[0.01, 0.01, 0.06]","[0.04, 0.02, 0.08]"
Being with other people,can be rewarding.,['can be rewarding'],['P_bevb_x'],62,[1.0],[0.17],[0.18]
When people are helpless,They can\&#039;t help themselves,['They can t help themselves'],['P_bevb_x'],63,[1.0],[0.06],[0.08]
I just can\'t stand people who,Worry too much,['who Worry too much'],['A_def'],64,[1.0],[0.07],[0.09]
My father,Was my best friend and I miss him dearly.,"['Was my best friend and', 'I miss him dearly']","['A_pron_x', 'A_def']",65,"[0.56, 0.88]","[0.01, 0.07]","[0.03, 0.09]"
When I am nervous,my palms sweat and my stomach hurts,"['my palms sweat and', 'my stomach hurts']","['Undefined', 'A_pron_x']",66,"[0.56, 1.0]","[0.01, 0.09]","[0.02, 0.1]"
At times I worry about,At times I worry about job stability.,['At times I worry about job stability'],['A_def'],67,[0.88],[0.16],[0.19]
When I get mad,I usually keep it to myself.,['I usually keep it to myself'],['A_def'],68,[0.88],[0.14],[0.17]
If I can\'t get what I want,I deal with it.,"['want', 'I deal with it']","['A_def', 'A_def']",69,"[0.56, 0.88]","[0.0, 0.01]","[0.0, 0.02]"
When people are helpless,we need to give them the strength to help themselves.,"['we need to give them the strength', 'to help themselves']","['A_def', 'A_def', 'A_def']",70,"[0.56, 0.56]","[0.02, 0.09]","[0.05, 0.1]"
Change is,Necessary.  Part of life. Incredibly difficult to accept.,['Necessary Part of life Incredibly difficult to accept'],"['P_get_x', 'A_def']",71,[1.0],[0.27],[0.31]
My main problem is,a feeling that I am not entitled,"['a feeling', 'I am not', 'that entitled']","['Undefined', 'P_bevb_x', 'A_def']",72,"[0.56, 0.88, 0.56]","[0.13, 0.01, 0.25]","[0.13, 0.02, 0.26]"
When I am nervous,I yawn.  I also don\&#039;t say very much.,"['I yawn', 'I also don', 't say very much']","['A_def', 'P_bevb_x', 'A_def']",73,"[0.88, 0.88, 1.0]","[0.0, 0.09, 0.01]","[0.01, 0.1, 0.02]"
Education,"Yes, in love. Yes let\&#039;s, for everyone! Could education simply be a continued collective reflection on the awareness of being? I\&#039;m afraid if I write more here, it will only be in efforts to move this completion towards a reflection of 6.0. How finicky am I to seek to be something with which I identify as hierarchically desirable…","['Yes let', 's for everyone Could education simply be a continued collective reflection on the awareness of being', 'I m afraid', 'if I write more here', 'it will only be in efforts', 'to move this completion towards a reflection of 6 0', 'How finicky am I to seek to be something', 'with which I identify as hierarchically desirable']","['P_yn', 'P_bevb_x', 'A_def', 'P_get_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def']",74,"[0.44, 1.0, 0.88, 0.88, 0.56, 1.0, 1.0, 1.0]","[0.0, 0.26, 0.01, 0.01, 0.1, 0.15, 0.05, 0.34]","[0.01, 0.34, 0.02, 0.03, 0.12, 0.2, 0.09, 0.37]"
The past,"moments are, in my memory, filled with mirth and silliness and care and concern and words like meditation flowing over the rocky hillside streambed worn smooth over time, and feeling and thought behind words, a gentle caress on the heart, and incessant prayers, seen and unseen, that this effort might be towards some greater fullness of the One.","['moments are in my memory', 'filled with mirth and silliness and care and concern and words like meditation', 'flowing over the rocky hillside streambed', 'worn smooth over time and feeling and', 'thought behind words a gentle caress on the heart and incessant prayers', 'seen and unseen', 'that this effort might be towards some greater fullness of the One']","['A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",75,"[0.56, 1.0, 1.0, 0.56, 1.0, 0.56, 0.56]","[0.16, 0.13, 0.1, 0.05, 0.14, 0.09, 0.1]","[0.18, 0.2, 0.12, 0.09, 0.2, 0.1, 0.15]"
The past,is important to learn from but not harp on.,"['is important to learn from but', 'not harp on']","['P_bevb_x', 'A_def', 'A_def']",76,"[0.56, 0.56]","[0.1, 0.01]","[0.12, 0.02]"
Being with other people,"can be joyful, stimulating, healing, or it can be complex, thorny and challenging.  My experience around people is very dependent on the quality of my relationships with them.","['can be joyful stimulating healing or', 'it can be complex thorny and', 'My experience around people is very dependent on the quality of my relationships with them']","['P_bevb_x', 'P_bevb_x', 'A_pron_x']",77,"[1.0, 1.0, 1.0]","[0.22, 0.06, 0.23]","[0.25, 0.08, 0.3]"
When developing strategies&hellip;,"express their needs, their emotions, to be honest, to expect honesty in return, to be trusted &#x28;unless that trust has been violated in the past&#x29;, to be supported, accommodated, and seen and appreciated for who they are.","['their needs their emotions', 'to be honest', 'to expect honesty in return', 'to be trusted', 'unless that trust has been violated in the past', 'to be supported', 'accommodated and', 'seen and', 'appreciated for', 'who they are']","['Undefined', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",78,"[0.56, 0.56, 1.0, 0.48, 0.56, 0.48, 1.0, 0.56, 1.0, 0.56]","[0.07, 0.09, 0.16, 0.09, 0.14, 0.17, 0.5, 0.0, 0.5, 0.01]","[0.09, 0.1, 0.18, 0.1, 0.18, 0.18, 0.51, 0.01, 0.51, 0.02]"
Sometimes I wish that,I could be younger and have done things differently.,"['I could be younger and', 'have done things differently']","['P_bevb_x', 'P_bevb_x']",79,"[1.0, 0.56]","[0.01, 0.2]","[0.03, 0.21]"
Raising a family,is a profound gift. I am tending the future. I am tending the life processes. It is a place for love and life and evolution to soar.,"['is a profound gift', 'I am tending the future', 'I am tending', 'the life processes', 'It is a place for love and life and evolution to soar']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def']",80,"[0.56, 0.88, 0.88, 1.0, 1.0]","[0.07, 0.11, 0.09, 0.17, 0.07]","[0.09, 0.13, 0.1, 0.18, 0.13]"
Education,"is a cascading waterfall of moments, memory and co-created constructs. The constructs build upon their predecessors and remain in tact to the degree they are functionally useful. Education is plastic and can be moulded to insert structures that orient the mind to new dimensions of possibility. It isn\&#039;t fixed. It is moving. It is a way to organize life in a way that transmits deeper meaning and captivates us to expand beyond the known. Education is a platform through which an infinite ground of potential is catalyzed and new structures are created for the sake of stretching to more integrated wholes.","['is a cascading waterfall of moments memory and', 'co created', 'constructs', 'The constructs build upon their predecessors and', 'remain in tact to the degree', 'they are functionally useful', 'Education is plastic and', 'can be moulded', 'to insert structures', 'that orient the mind to new dimensions of possibility', 'It isn t fixed', 'It is moving', 'It is a way', 'to organize life in a way', 'that transmits deeper meaning and', 'captivates us to expand beyond the known Education', 'is a platform', 'through which an infinite ground of potential is', 'catalyzed and', 'new structures are created for the sake of', 'stretching to more integrated wholes']","['P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def']",81,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.56, 0.88, 0.88, 0.88, 0.56, 0.56, 1.0, 0.48, 1.0, 1.0, 1.0, 1.0]","[0.24, 0.25, 0.25, 0.2, 0.1, 0.26, 0.26, 0.09, 0.17, 0.22, 0.01, 0.09, 0.01, 0.1, 0.16, 0.24, 0.09, 0.15, 0.13, 0.11, 0.21]","[0.28, 0.26, 0.25, 0.23, 0.12, 0.27, 0.27, 0.1, 0.18, 0.26, 0.02, 0.1, 0.02, 0.12, 0.18, 0.28, 0.1, 0.18, 0.13, 0.15, 0.23]"
I just can\'t stand people who,who get their racism incorrect. Then I don\&#039;t know if I should get mad for getting misidentified as a Pilipino or feel sorry for the guy who does not know world map.,"['who incorrect', 'who get their racism', 'Then I don', 't know', 'if I should get mad for or', 'getting misidentified as a Pilipino', 'feel sorry for the guy', 'who does not know world map']","['Undefined', 'A_pron_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_get_x', 'P_bevb_x']",82,"[1.0, 1.0, 0.88, 0.56, 0.88, 0.56, 0.56, 0.56]","[0.25, 0.01, 0.01, 0.0, 0.02, 0.16, 0.06, 0.01]","[0.26, 0.02, 0.02, 0.01, 0.05, 0.18, 0.08, 0.04]"
Crime and delinquency could be halted if,More people were held accountable.  Or maybe if crimes were dealt with More Severely! Like in Africa where they cut off your hand for stealing. It would be hard to adjust to but it might keep people in line more.,"['More people were held accountable Or', 'maybe if crimes were dealt with More Severely Like in Africa', 'where they cut off your hand for', 'stealing It', 'would be hard to adjust to but', 'it might keep people in line more']","['P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x']",83,"[1.0, 1.0, 1.0, 0.88, 0.56, 0.56]","[0.14, 0.08, 0.02, 0.13, 0.05, 0.05]","[0.17, 0.13, 0.05, 0.13, 0.09, 0.09]"
When I am criticized,noticing that I see an awareness of a slight twinge,"['noticing', 'that I see an awareness of a slight twinge']","['A_def', 'A_def']",84,"[1.0, 0.88]","[0.25, 0.05]","[0.25, 0.09]"
We could make the world a better place if,"if we are present, open portal to flow of transcendent inspiration, experiencing the kosmic perfection and yet manifesting our utter uniqueness","['if we are present open portal', 'to flow of transcendent inspiration and', 'experiencing the kosmic perfection', 'yet manifesting our utter uniqueness']","['P_bevb_x', 'A_def', 'A_def', 'A_pron_x']",85,"[0.56, 1.0, 1.0, 0.56]","[0.06, 0.22, 0.45, 0.26]","[0.08, 0.25, 0.46, 0.28]"
Privacy,inevitably has all of creation flowing through it - a Kosmic disclosure,"['inevitably has all of creation', 'flowing through it a Kosmic disclosure']","['P_bevb_x', 'A_def']",86,"[1.0, 1.0]","[0.11, 0.18]","[0.13, 0.21]"
I feel sorry,"for beings who are suffering; it feels sometimes like I feel the earth stressing, pulsating in resonance with endless other pulsars throughout infinity","['for beings', 'who are suffering it', 'feels sometimes', 'like I feel', 'the earth stressing pulsating in resonance with endless other pulsars throughout infinity']","['Undefined', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def']",87,"[0.56, 0.56, 0.44, 0.88, 1.0]","[0.13, 0.13, 0.13, 0.01, 0.28]","[0.13, 0.15, 0.13, 0.02, 0.34]"
When they avoided me,"their deviation was also their alignment, a unity of directionality beyond direction",['their deviation was also their alignment a unity of directionality beyond direction'],['A_pron_x'],88,[1.0],[0.32],[0.38]
At times I worry about,the fragility of this vessel. Will it hold much longer at it is touching into that which transcends what it means to be human,"['the fragility of this vessel', 'Will it hold much longer at it', 'is touching into that', 'which transcends', 'what it means to be human']","['Undefined', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",89,"[0.56, 1.0, 1.0, 1.0, 0.56]","[0.11, 0.02, 0.13, 0.13, 0.06]","[0.13, 0.05, 0.15, 0.13, 0.08]"
