response,clauses_text_final,final_score,final_voice
"is mature enough to set a clear strategic intent and direction, share his leadership, create the conditions where people can contribute their unique gifts and passions, co-create a shared future and dynamically steer - deeply listening to the inner and outer worlds, and respond with love and compassion to conflict or challenges; however there are so many different expressions of good in so many different situations, a good boss needs a strong inner compass that is attuned to a deeper universal intelligence to serve.","['is mature enough to set a clear strategic intent and direction', 'share', 'his leadership create the conditions', 'where people can contribute their unique gifts and passions', 'co create a shared future and', 'dynamically steer deeply listening to the inner and outer worlds and', 'respond with love and compassion to conflict or challenges', 'however there are so many different expressions of good in so many different situations', 'a good boss needs a strong inner compass', 'that is attuned to a deeper universal intelligence', 'to serve']",0.24,A_def
is a Devine expression of the universe moving through me.  I am a vessel of that expression working thru me.,"['a Devine expression of the universe', 'moving through me', 'I am a vessel of that expression', 'working thru me']",0.18,P_bevb_x
"Are inter-connected and part of the bigger world - they are made up of individual human beings and as such, display all the multi-faceted qualities of human beings, but they take on collective shapes based on the systems that are created within them.","['Are as such display all the multi faceted qualities of human beings but', 'inter connected and part of the bigger world', 'they are made up of individual human beings and', 'they take on collective shapes', 'based on the systems', 'that are created within them']",0.23,P_bevb_x
is the only statement worth exploring and knowing.,['is the only statement worth exploring and knowing'],0.13,P_bevb_x
"how differently I see and process things from many of the people I encounter, and whether I am wisely acting and interacting.","['how differently I see and and', 'process things from many of the people', 'I encounter', 'whether I am wisely acting and interacting']",0.27,A_def
judge and complain.,['who judge and complain'],0.1,A_def
"...happening each day on the one side: kids grow, you realise you get older and remember less, circumstances of living are different today, then yesterday. So you need to \&quot;change\&quot; your plan of today, you need to be open and flexibel and adopt to it, for example. Changes of behaviour or values demand go much depper and need to be reflected first. It can enter in new developments, but it is difficult to achieve this - personal as well as from the perspective of a society.","['happening each day on the one side kids', 'grow', 'you realise and', 'you get older', 'remember yesterday', 'less circumstances of living are different today then', 'So you need to change your plan of today', 'you need to be open and flexibel and', 'adopt to it for example', 'Changes of behaviour or values demand', 'go much depper and', 'need to be reflected first', 'It can enter in new developments but', 'it is difficult to achieve this personal as well as from the perspective of a society']",0.36,A_def
I sleep,['I sleep'],0.06,A_def
"always love to come up with new ideas and test new idea with open mind. we care each other and love to working for excellence. some times the conflict arise between us, but it doesn\&#039;t stay long.","['love to come up with new ideas and', 'test new idea with open mind', 'we care each other and', 'love to', 'working for excellence some times', 'the conflict arise between us', 'but it doesn', 't stay long']",0.23,A_def
"I know there is something I must have missed, something I haven\&#039;t noticed or a dynamic at work that is causing the person criticizing me to see in me a gap of some sort.  And while that gap may or may not be there in reality, it is in that person\&#039;s mind. This provides me the opportunity to explore that person\&#039;s mind or world view. I would like that exploration to result in growth for us both or at least to enhance our relationship.","['I know', 'there is something', 'I must have missed something or a dynamic at work', 'I haven t noticed', 'that is causing', 'the person criticizing me', 'to see in me a gap of some sort', 'while that gap may or', 'may not be there in reality', 'And it is in that person s mind', 'This provides me the opportunity', 'to explore that person s mind or world view', 'I would like that exploration', 'to result in growth for us both or', 'at least to enhance our relationship']",0.24,A_pron_x
